station,date,latitude,longitude,elevation,name,precipitation,precipitation_attrs,snowfall,snowfall_attrs,snow_depth,snow_depth_attrs,temp_max,temp_max_attrs,temp_min,temp_min_attrs,group_,county,state_name,rn
US1KYMH0003,2010-09-07,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",0,",,N",0,",,N",null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2010-09-08,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",0,",,N",0,",,N",null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2010-09-09,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",0,",,N",0,",,N",null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2010-09-10,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",508,",,N",null,null,null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2010-09-11,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",330,",,N",null,null,null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2010-09-23,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",0,",,N",0,",,N",null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2010-09-24,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",0,",,N",0,",,N",null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2010-09-25,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",0,",,N",0,",,N",null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2010-09-26,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",0,",,N",0,",,N",null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2010-09-27,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",0,",,N",0,",,N",null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2010-09-28,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",0,",,N",0,",,N",null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2010-09-29,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",0,",,N",0,",,N",null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2010-09-30,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",0,",,N",0,",,N",null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2011-05-01,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",381,",,N",null,null,null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2011-05-02,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",457,",,N",null,null,null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2011-05-03,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",597,",,N",null,null,null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2011-05-04,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",0,",,N",0,",,N",null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2011-05-07,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",0,",,N",0,",,N",null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2011-05-08,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",20,",,N",null,null,null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2011-05-09,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",0,",,N",0,",,N",null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2011-05-10,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",0,",,N",0,",,N",null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2011-05-12,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",0,",,N",0,",,N",null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2011-05-13,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",0,",,N",0,",,N",null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2011-05-16,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",13,",,N",null,null,null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2011-05-17,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",0,",,N",0,",,N",null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2011-05-18,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",0,",,N",0,",,N",null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2011-05-19,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",13,",,N",null,null,null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2011-05-21,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",13,",,N",null,null,null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2011-05-22,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",0,",,N",0,",,N",null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2011-05-23,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",64,",,N",null,null,null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2011-05-24,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",114,",,N",null,null,null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2011-05-25,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",23,",,N",null,null,null,null,null,null,null,null,US1,Massac,Illinois,1
US1KYMH0003,2011-05-26,37.000908,-88.37906,120,"CALVERT CITY 2.7 SSW, KY US",191,",,N",null,null,null,null,null,null,null,null,US1,Massac,Illinois,1
